          1.86822619         -0.87400603         -0.04753857
          11           2           6           2   2.1595333211940644E-005
          11           2           7           2  -2.9831527308008495E-007
          11           2           7           3  -7.4474170955578262E-007
          11           2           8           1  -1.5659676079202076E-005
          11           2           8           3  -3.1907457668795006E-006
          11           2           9           2   1.8594244746801962E-005
          11           2           9           3   4.7490769781529946E-006
          11           2          10           2  -7.2998793545891102E-005
          11           2          11           2   5.5850420174870275E-005
          11           2          11           3  -1.6701677835896690E-005
          11           2          12           2  -2.5625681697480917E-008
          11           2          12           3   3.3197070932364924E-006
          11           2          13           1  -5.9361529196534817E-006
          11           2          13           2   4.8645365134132762E-006
          11           2          13           3   3.3320745044061311E-007
          11           2          14           2   2.7979923340251721E-005
          11           2          14           3  -2.8099063889312486E-006
          11           2          15           2   1.3183137145340260E-004
          11           2          15           3  -4.1269988274858053E-006
          11           2          16           2   1.1202364504155982E-004
          11           2          18           2  -1.1324792694830849E-005
          11           2          19           1   1.3862378167870303E-006
          11           2          19           2  -5.9673691273518744E-007
          11           2          19           3  -5.5399209991245602E-007
          11           3           1           1  -9.0836515027036544E-006
          11           3           1           2  -3.0490129046502019E-007
          11           3           1           3   1.8586939637667108E-006
          11           3           2           1  -1.4584447057834458E-005
          11           3           2           2   6.5712540861182871E-006
          11           3           2           3  -3.4917018677934302E-006
          11           3           5           1   1.3987506428751419E-006
          11           3           5           2   2.8928545821567935E-006
          11           3           5           3  -1.8983568136483572E-006
